21070024;Deutsche Bank Privat und Geschäftskunden;63
21080050;Dresdner Bank;76
21089201;Dresdner Bank ITGK;09
21090007;Kieler Volksbank;10
21090619;Deutsche Apotheker- und Ärztebank;14
21090801;BBBank ehemals SHB-Bank;32
21090900;PSD Bank Kiel;91
21092023;Eckernförder Bank Volksbank-Raiffeisenbank;48
21210111;SEB;13
21230085;Bayer HypoVereinsbank ex Vereins und Westbank;68
21230086;Bayer HypoVereinsbank ex Vereins und Westbank;68
21240040;Commerzbank;13
21241540;Commerzbank;13
21250000;Stadtsparkasse Neumünster -alt-;04
21261089;Raiffeisenbank -alt-;33
21261227;Raiffbk Kl-Kummerfeld -alt-;33
21270020;Deutsche Bank;63
21270024;Deutsche Bank Privat und Geschäftskunden;63
21280002;Dresdner Bank;76
21290016;Volksbank Raiffbk Neumünster;48
21340010;Commerzbank;13
21352240;Sparkasse Holstein;A7
21390008;Volksbank Ostholstein Nord;32
21392218;Volksbank Eutin Raiffeisenbank;33
21430070;Bayer HypoVereinsbank ex Vereins und Westbank;68
21440045;Commerzbank;13
21450000;Sparkasse Mittelholstein Rendsburg;22
21451205;Sparkasse Büdelsdorf;00
21451340;Sparkasse Hohn-Jevenstedt -Alt-;00
21452030;Sparkasse Hohenwestedt;04
21461627;Raiffeisenbank Jevenstedt -alt-;33
21463603;Volksbank-Raiffeisenbank im Kreis Rendsburg;32
21464671;Raiffeisenbank;33
21480003;Dresdner Bank;76
21500000;Bundesbank;09
21510600;Sydbank AS Fil;09
21520100;Union-Bank AG;06
21530080;Bayer HypoVereinsbank ex Vereins und Westbank;68
21540060;Commerzbank;13
21550050;Flensburger Sparkasse;B4
21563321;Raiffeisenbank Flensburg;33
21565316;Raiffeisenbank;33
21566356;Volks- u Raiffeisenbank;33
21567360;Raiffeisenbank Kleinjörl;33
21570011;Deutsche Bank;63
21570024;Deutsche Bank Privat und Geschäftskunden;63
21580000;Dresdner Bank;76
21590018;VR Bank Flensburg-Schleswig ehem Flensbg VB;10
21630060;Bayer HypoVereinsbank ex Vereins und Westbank;68
21630061;Bayer HypoVereinsbank ex Vereins und Westbank;68
21630062;Bayer HypoVereinsbank ex Vereins und Westbank;68
21630063;Bayer HypoVereinsbank ex Vereins und Westbank;68
21650110;Sparkasse Schleswig-Flensburg -alt-;04
21661719;VR Bank Flensburg-Schleswig;32
21690020;Volksbank Raiffeisenbank Schleswig;32
